AP NAME,SSID,MAC,Site,Building,Room
AP_SCI_314,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:ef:05,Main,SCI (S),S314
AP_SCI_319,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:fe:47,Main,SCI (S),S319
AP_SCI_401,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:10:e9,Main,SCI (S),S401
AP_SCI_403,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:12:1b,Main,SCI (S),S403
AP_SCI_406,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:10:59,Main,SCI (S),S406
AP_SCI_408,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0e:4f,Main,SCI (S),S408
AP_SCI_415,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0d:77,Main,SCI (S),S415
AP_SCI_417,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:05:f1,Main,SCI (S),S417
,,,,,
AP_SEHEALTH_LL,TMC_PUBLIC / TMC_SECURE,70:4c:a5:91:92:b0,Main,SEHC,H119A-1
AP_SEHEALTH_UL,TMC_PUBLIC / TMC_SECURE,70:4c:a5:91:92:e0,Main,SEHC,H211
,,,,,
Blue Ash Campus,,,,,
AP_BlueAsh_1,,,Blue Ash,BLU,CLSR1
AP_BlueAsh_2,,,Blue Ash,BLU,CLSR4
AP_BlueAsh_3,,,Blue Ash,BLU,CLSR5
